secid,date,days,volatility,cusip,index_flag
102480,2000-01-03,30,0.234448,12490H10,1
102480,2000-01-03,60,0.260605,12490H10,1
102480,2000-01-03,91,0.274575,12490H10,1
102480,2000-01-03,122,0.284508,12490H10,1
102480,2000-01-03,152,0.288484,12490H10,1
102480,2000-01-03,182,0.293344,12490H10,1
102480,2000-01-03,273,0.319635,12490H10,1
102480,2000-01-03,365,0.332916,12490H10,1
102480,2000-01-04,30,0.347399,12490H10,1
102480,2000-01-04,60,0.319997,12490H10,1
102480,2000-01-04,91,0.311289,12490H10,1
102480,2000-01-04,122,0.308799,12490H10,1
102480,2000-01-04,152,0.308926,12490H10,1
102480,2000-01-04,182,0.309294,12490H10,1
102480,2000-01-04,273,0.329474,12490H10,1
102480,2000-01-04,365,0.339985,12490H10,1
102480,2000-01-05,30,0.351953,12490H10,1
102480,2000-01-05,60,0.31888,12490H10,1
102480,2000-01-05,91,0.310731,12490H10,1
102480,2000-01-05,122,0.308062,12490H10,1
102480,2000-01-05,152,0.309151,12490H10,1
102480,2000-01-05,182,0.309949,12490H10,1
102480,2000-01-05,273,0.329417,12490H10,1
102480,2000-01-05,365,0.339449,12490H10,1
102480,2000-01-06,30,0.397189,12490H10,1
102480,2000-01-06,60,0.342108,12490H10,1
102480,2000-01-06,91,0.328715,12490H10,1
102480,2000-01-06,122,0.319201,12490H10,1
102480,2000-01-06,152,0.318353,12490H10,1
102480,2000-01-06,182,0.318003,12490H10,1
102480,2000-01-06,273,0.334322,12490H10,1
102480,2000-01-06,365,0.341993,12490H10,1
102480,2000-01-07,30,0.433137,12490H10,1
102480,2000-01-07,60,0.363462,12490H10,1
102480,2000-01-07,91,0.343831,12490H10,1
102480,2000-01-07,122,0.33077,12490H10,1
102480,2000-01-07,152,0.326402,12490H10,1
102480,2000-01-07,182,0.326354,12490H10,1
102480,2000-01-07,273,0.339812,12490H10,1
102480,2000-01-07,365,0.346038,12490H10,1
102480,2000-01-10,30,0.473599,12490H10,1
102480,2000-01-10,60,0.387079,12490H10,1
102480,2000-01-10,91,0.35624,12490H10,1
102480,2000-01-10,122,0.341786,12490H10,1
102480,2000-01-10,152,0.332425,12490H10,1
102480,2000-01-10,182,0.333357,12490H10,1
102480,2000-01-10,273,0.344403,12490H10,1
102480,2000-01-10,365,0.349549,12490H10,1
102480,2000-01-11,30,0.499533,12490H10,1
102480,2000-01-11,60,0.409844,12490H10,1
102480,2000-01-11,91,0.368365,12490H10,1
102480,2000-01-11,122,0.351447,12490H10,1
102480,2000-01-11,152,0.341235,12490H10,1
102480,2000-01-11,182,0.340893,12490H10,1
102480,2000-01-11,273,0.348285,12490H10,1
102480,2000-01-11,365,0.352945,12490H10,1
102480,2000-01-12,30,0.505317,12490H10,1
102480,2000-01-12,60,0.409028,12490H10,1
102480,2000-01-12,91,0.365045,12490H10,1
102480,2000-01-12,122,0.351547,12490H10,1
102480,2000-01-12,152,0.338293,12490H10,1
102480,2000-01-12,182,0.341626,12490H10,1
102480,2000-01-12,273,0.346675,12490H10,1
102480,2000-01-12,365,0.352037,12490H10,1
102480,2000-01-13,30,0.508935,12490H10,1
102480,2000-01-13,60,0.412141,12490H10,1
102480,2000-01-13,91,0.3707,12490H10,1
102480,2000-01-13,122,0.353807,12490H10,1
102480,2000-01-13,152,0.340706,12490H10,1
102480,2000-01-13,182,0.345139,12490H10,1
102480,2000-01-13,273,0.348736,12490H10,1
102480,2000-01-13,365,0.353807,12490H10,1
102480,2000-01-14,30,0.510188,12490H10,1
102480,2000-01-14,60,0.41424,12490H10,1
102480,2000-01-14,91,0.366287,12490H10,1
102480,2000-01-14,122,0.355101,12490H10,1
102480,2000-01-14,152,0.340638,12490H10,1
102480,2000-01-14,182,0.346314,12490H10,1
102480,2000-01-14,273,0.348379,12490H10,1
102480,2000-01-14,365,0.353684,12490H10,1
102480,2000-01-18,30,0.517879,12490H10,1
102480,2000-01-18,60,0.421854,12490H10,1
102480,2000-01-18,91,0.36585,12490H10,1
102480,2000-01-18,122,0.353945,12490H10,1
102480,2000-01-18,152,0.343508,12490H10,1
102480,2000-01-18,182,0.341544,12490H10,1
102480,2000-01-18,273,0.340572,12490H10,1
102480,2000-01-18,365,0.352012,12490H10,1
102480,2000-01-19,30,0.517865,12490H10,1
102480,2000-01-19,60,0.41649,12490H10,1
102480,2000-01-19,91,0.358517,12490H10,1
102480,2000-01-19,122,0.351902,12490H10,1
102480,2000-01-19,152,0.343132,12490H10,1
102480,2000-01-19,182,0.341271,12490H10,1
102480,2000-01-19,273,0.338439,12490H10,1
102480,2000-01-19,365,0.351286,12490H10,1
102480,2000-01-20,30,0.502747,12490H10,1
102480,2000-01-20,60,0.411696,12490H10,1
